CODE,SALE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DISTRICT,DATE
1160,33835.6,FC ATTIDIYA,"ATTIDIYA, Cargills Food City, Sri Lanka",6.8391599,79.8835028,Cargills,Colombo,07-03-2025
1585,1595.97,FC BANDARAWELA 2,"BANDARAWELA , Cargills Food City, Sri Lanka",6.8298077,80.9941178,Cargills,Badulla,07-03-2025
1658,40898.9,FH HAVELOCK CITY,"HAVELOCK CITY, Cargills Food City, Sri Lanka",6.8827383,79.8683695,Cargills,Colombo,07-03-2025
1673,23234.15,FC WALPOLA,"WALPOLA, Cargills Food City, Sri Lanka",6.919566,79.9269549,Cargills,Colombo,07-03-2025
1684,28221.29,FC LEWELLA,"LEWELLA, Cargills Food City, Sri Lanka",7.2989123,80.6506767,Cargills,Kandy,07-03-2025
1686,8379.88,EX ANGUNAKOLAPELASSA,"ANGUNAKOLAPELASSA, Cargills Food City, Sri Lanka",6.1655689,80.9031172,Cargills,Hambantota,07-03-2025
1687,10472.29,FC ANGUNAWALA,"ANGUNAWALA, Cargills Food City, Sri Lanka",7.2391815,80.5924449,Cargills,Kandy,07-03-2025
1688,9186.59,FC NUGAWELA,"NUGAWELA, Cargills Food City, Sri Lanka",7.3273716,80.5950278,Cargills,Kandy,07-03-2025
1689,11843.85,FC CHILLAW 03,"CHILLAW , Cargills Food City, Sri Lanka",7.5619894,79.8016569,Cargills,Puttalam,07-03-2025
1690,13615.27,FC VEYANGODA,"VEYANGODA, Cargills Food City, Sri Lanka",7.1553708,80.0576014,Cargills,Gampaha,07-03-2025
1691,22632.64,FC MOUNT LAVINIA 02,"MOUNT LAVINIA , Cargills Food City, Sri Lanka",6.8301185,79.8800832,Cargills,Colombo,07-03-2025
1692,28029.43,FC TORRINGTON SQUARE,"TORRINGTON SQUARE, Cargills Food City, Sri Lanka",6.9035383,79.8681098,Cargills,Colombo,07-03-2025
1693,20862.34,FC KATUBEDDA (SQUARE),"KATUBEDDA (SQUARE), Cargills Food City, Sri Lanka",6.8014572,79.8996789,Cargills,Colombo,07-03-2025
1696,5625.06,FC HAKMANA,"HAKMANA, Cargills Food City, Sri Lanka",6.0827767,80.6469843,Cargills,Matara,07-03-2025
1860,16057.57,EX POLPITHIGAMA,"POLPITHIGAMA, Cargills Food City, Sri Lanka",7.8152387,80.4043131,Cargills,Kurunegala,07-03-2025
1868,28686.04,EX PUTTALAM,"PUTTALAM, Cargills Food City, Sri Lanka",8.0407913,79.839386,Cargills,Puttalam,07-03-2025
1873,25002.72,EX KANDALAMA (MIRIGAMA),"KANDALAMA (MIRIGAMA), Cargills Food City, Sri Lanka",7.2427345,80.1269539,Cargills,Gampaha,07-03-2025
1880,39341.18,EX HINGURAKGODA,"HINGURAKGODA, Cargills Food City, Sri Lanka",8.0426714,80.955026,Cargills,Polonnaruwa,07-03-2025
1881,52520.45,EX ATIGALA,"ATIGALA, Cargills Food City, Sri Lanka",6.894662,80.0562864,Cargills,Colombo,07-03-2025
1883,4353.07,EX KUMBALGAMA,"KUMBALGAMA, Cargills Food City, Sri Lanka",6.6898822,80.8045568,Cargills,Ratnapura,07-03-2025
1884,16258.23,EX KONDAVIL,"KONDAVIL, Cargills Food City, Sri Lanka",9.70218,80.0354029,Cargills,Jaffna,07-03-2025
1886,2860.32,EX CAPITAL HEIGHTS,"CAPITAL HEIGHTS, Cargills Food City, Sri Lanka",6.9095794,79.9005022,Cargills,Colombo,07-03-2025
1889,23229.33,EX WORLD TRADE CENTRE,"WORLD TRADE CENTRE, Cargills Food City, Sri Lanka",6.9326744,79.8413641,Cargills,Colombo,07-03-2025
