CODE,SALE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DISTRICT,DATE
1005,22339.79,FC FORT,"40 , York Street ,  Fort ,  Colombo  01",6.9356673,79.8447204,Cargills,Colombo,03-03-2025
1015,20150.37,FC BANDARAWELA,"7 , Welimada  Road ,  Bandarawella",6.8311676,80.9887048,Cargills,Badulla,03-03-2025
1017,17470.88,FC STAPLES STREET,"21,  Staples  Street,  Colombo  02",6.9202229,79.855804,Cargills,Colombo,03-03-2025
1018,19444.2,FC KANDY,"3 ,  Dalada  Veedia ,  Kandy .",7.2926093,80.6370454,Cargills,Kandy,03-03-2025
1020,20508.91,FC NUWARA ELIYA,"90 , Kandy  Road ,  Nuwaraeliya .",7.2310915,80.2450189,Cargills,Kegalle,03-03-2025
1033,21083.5,FC MAJESTIC CITY,"Majestic  City  ,  10 , Station Road , Colombo  04",6.8940731,79.8546195,Cargills,Colombo,03-03-2025
1076,34099.38,FC KURUNEGALA,"44 , Negombo  Road , Kurunegala .",7.4884909,80.3606378,Cargills,Kurunegala,03-03-2025
1083,7667.34,FC MATARA,"60 , Anagarika Dharmapala Mw , Matara .",5.9494158,80.5447271,Cargills,Matara,03-03-2025
1084,11167.55,FC WATTALA,"315 , Negombo  Road , Wattala .",7.091585,79.8884605,Cargills,Gampaha,03-03-2025
1104,6966.13,FC RATNAPURA,"Municipal Commercial Complex ,Old Bus Stand Site,Nagarasaba Pedesa, Ratnapura",6.7055742,80.3847345,Cargills,Ratnapura,03-03-2025
1105,13360.79,FC COLPETTY,"407 , Galle  Road , Colpetty .",6.9097726,79.8501472,Cargills,Colombo,03-03-2025
1106,34830.62,FC DEHIWALA,"65 A ,  Galle  Road , Dehiwala .",6.8512992,79.865918,Cargills,Colombo,03-03-2025
1107,7393.22,EX THIMBIRIGASYAYA,"90 , Thimbirigasyaya   Road , Colombo 05",6.8936437,79.8704269,Cargills,Colombo,03-03-2025
1108,28849.15,FC KOTAHENA,"108 , George R. de Silva  Mw , Kotahena .",6.9486466,79.859476,Cargills,Colombo,03-03-2025
1109,39320.49,FC PARK ROAD,"213 , Park  Road , Off Elvitigala Mw , Colombo 05",6.8894063,79.8768789,Cargills,Colombo,03-03-2025
1111,11342.85,FC KEGALLE,"447 / 2 , Kandy  Road , Kegalla .",7.2532238,80.3454101,Cargills,Kegalle,03-03-2025
1113,25080.31,FC KATUGASTOTA,"271 A , Katugastota  Road , Kandy .",7.3212616,80.6275089,Cargills,Kandy,03-03-2025
1114,51430.54,FC ALUTHGAMA,"303 , Main  Street , Aluthgama .",6.4345732,80.0003875,Cargills,Kalutara,03-03-2025
1115,7259.81,FC BERUWELA,"162 ,  Galle  Road , Beruwela .",6.4730375,79.984256,Cargills,Kalutara,03-03-2025
1116,15044.98,FC AVISSAWELLA,"91 ,  Ratnapura  Road , Avissawella .",6.9503517,80.2137488,Cargills,Colombo,03-03-2025
