CODE,SALE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DISTRICT,DATE
1074,30387.91,FC BORALESGAMUWA,"BORALESGAMUWA, Cargills Food City, Sri Lanka",6.8404081,79.9008379,Cargills,Colombo,05-03-2025
1075,5015.17,FC PANADURA,"PANADURA, Cargills Food City, Sri Lanka",6.7196794,79.9077578,Cargills,Kalutara,05-03-2025
1140,9111.09,FC HORANA,"HORANA, Cargills Food City, Sri Lanka",6.7229806,80.0646682,Cargills,Kalutara,05-03-2025
1147,23914.54,FC MINUWANGODA,"MINUWANGODA, Cargills Food City, Sri Lanka",7.1663889,79.9467343,Cargills,Gampaha,05-03-2025
1149,20465.86,FC KALUTARA,"KALUTARA, Cargills Food City, Sri Lanka",6.5853948,79.96074,Cargills,Kalutara,05-03-2025
1166,4657.21,FC KATUKURUNDA,"KATUKURUNDA, Cargills Food City, Sri Lanka",6.549971,79.9836108,Cargills,Kalutara,05-03-2025
1180,39136.95,FC RATMALANA,"RATMALANA, Cargills Food City, Sri Lanka",6.8195453,79.8800832,Cargills,Colombo,05-03-2025
1182,55416.0,FC PANADURA 2,"PANADURA , Cargills Food City, Sri Lanka",6.7196794,79.9077578,Cargills,Kalutara,05-03-2025
1184,51364.97,FC RAGAMA,"RAGAMA, Cargills Food City, Sri Lanka",7.0280037,79.923,Cargills,Gampaha,05-03-2025
1191,14351.57,FC PEPILIYANA,"PEPILIYANA, Cargills Food City, Sri Lanka",6.8562846,79.8890356,Cargills,Colombo,05-03-2025
1280,19934.44,FC KALUTARA NORTH,"KALUTARA NORTH, Cargills Food City, Sri Lanka",6.5853948,79.96074,Cargills,Kalutara,05-03-2025
1293,10810.15,FC KESBEWA,"KESBEWA, Cargills Food City, Sri Lanka",6.7786701,79.9472502,Cargills,Colombo,05-03-2025
1312,23443.01,EX PANADURA,"PANADURA, Cargills Food City, Sri Lanka",6.7196794,79.9077578,Cargills,Kalutara,05-03-2025
1325,15965.97,EX KIRINDIWELA,"KIRINDIWELA, Cargills Food City, Sri Lanka",7.0403062,80.1317396,Cargills,Gampaha,05-03-2025
1330,50824.08,EX MORATUMULLA,"MORATUMULLA, Cargills Food City, Sri Lanka",6.7862384,79.8926197,Cargills,Colombo,05-03-2025
1333,30613.79,EX MORATUWELLA,"MORATUWELLA, Cargills Food City, Sri Lanka",6.7866384,79.8928197,Cargills,Colombo,05-03-2025
1345,21259.13,EX BALAPITIYA,"BALAPITIYA, Cargills Food City, Sri Lanka",6.2783546,80.0403047,Cargills,Galle,05-03-2025
1356,21790.56,EX DIVULAPITIYA,"DIVULAPITIYA, Cargills Food City, Sri Lanka",7.2237702,80.0182953,Cargills,Gampaha,05-03-2025
1367,28044.61,EX NALLURUWA,"NALLURUWA, Cargills Food City, Sri Lanka",6.6949013,79.9178709,Cargills,Kalutara,05-03-2025
1369,20059.5,EX PIRIVENA JUNCTION,"PIRIVENA JUNCTION, Cargills Food City, Sri Lanka",6.8420691,79.9084475,Cargills,Colombo,05-03-2025
1373,19200.13,EX ALUBOMULLA,"ALUBOMULLA, Cargills Food City, Sri Lanka",6.7113091,79.9458514,Cargills,Kalutara,05-03-2025
1388,34552.12,EX KALUTARA CENTRAL,"KALUTARA CENTRAL, Cargills Food City, Sri Lanka",6.5853948,79.96074,Cargills,Kalutara,05-03-2025
